flood_hazard_zone_tier,zone_cluster_id,platform,delivery_baseline_30d,income_baseline_weekly,enrollment_week,season_flag,open_meteo_7d_precip_probability,activity_consistency_score,tenure_discount_factor,historical_claim_rate_zone,weekly_premium
high,18,swiggy,307.37,2469.99,33,NE_monsoon,0.1587,0.8163,0.85,0.1504,51.11
high,3,zomato,324.17,2119.76,17,SW_monsoon,0.3372,0.5726,0.85,0.2025,49.0
medium,11,zomato,223.34,1452.24,12,SW_monsoon,0.1418,0.629,0.8841,0.0921,49.78
medium,17,zomato,269.51,1710.69,41,SW_monsoon,0.6132,0.8947,0.85,0.067,49.0
high,6,swiggy,258.94,1749.19,14,heat,0.3621,0.6926,0.8663,0.1525,49.0
medium,1,zomato,292.48,1896.97,22,SW_monsoon,0.1846,0.6089,0.85,0.1209,49.0
low,6,zomato,370.36,2161.41,42,NE_monsoon,0.511,0.8918,0.85,0.1074,49.0
high,1,zomato,322.66,2139.05,22,NE_monsoon,0.7845,0.5471,0.85,0.1328,49.0
high,17,zomato,258.32,1740.24,19,dry_season,0.7001,0.6504,0.85,0.2043,49.21
medium,3,zomato,249.44,1766.41,31,NE_monsoon,0.3191,0.5678,0.85,0.1425,49.0
low,8,swiggy,328.09,2003.0,13,heat,0.4378,0.7593,0.8835,0.0661,49.0
medium,2,zomato,308.88,2084.27,21,NE_monsoon,0.2319,0.9286,0.85,0.1888,49.0
medium,20,zomato,407.38,2457.34,1,dry_season,0.6296,0.9671,0.9687,0.1033,49.0
medium,14,swiggy,362.51,2157.7,28,SW_monsoon,0.2145,0.75,0.85,0.1544,49.0
medium,1,zomato,225.4,1522.19,6,SW_monsoon,0.6437,0.6381,0.926,0.0899,49.0
low,3,zomato,269.04,1667.1,43,heat,0.4873,0.5816,0.85,0.0392,49.0
low,13,zomato,224.28,1278.13,44,NE_monsoon,0.13,0.7382,0.85,0.0832,49.75
medium,16,zomato,269.46,1869.06,9,NE_monsoon,0.6958,0.8036,0.8968,0.1188,49.09
medium,19,zomato,315.64,2153.75,42,dry_season,0.6381,0.6008,0.85,0.096,50.16
medium,18,swiggy,235.13,1521.46,16,SW_monsoon,0.4254,0.7681,0.8558,0.1368,49.09
low,2,zomato,298.54,1754.46,12,NE_monsoon,0.3512,0.8456,0.8766,0.0606,49.0
low,1,zomato,209.9,1350.89,11,dry_season,0.4596,0.6533,0.9052,0.1059,49.0
medium,5,zomato,247.89,1769.77,6,NE_monsoon,0.4561,1.0,0.9452,0.1989,50.94
medium,20,swiggy,184.9,1195.28,16,NE_monsoon,0.5788,0.8522,0.8602,0.128,49.0
medium,4,zomato,306.93,2235.0,48,NE_monsoon,0.5897,0.8029,0.85,0.1371,50.11
low,8,swiggy,219.02,1264.45,37,SW_monsoon,0.514,0.4948,0.85,0.0541,53.11
medium,18,swiggy,250.3,1582.35,47,dry_season,0.7234,0.5306,0.85,0.1717,50.82
low,9,zomato,253.02,1393.62,2,dry_season,0.3581,0.7734,0.9712,0.089,49.0
high,20,swiggy,166.16,1216.57,9,SW_monsoon,0.7,0.5748,0.9224,0.1553,49.0
low,3,zomato,330.13,1950.61,36,heat,0.6884,0.7302,0.85,0.0374,50.9
high,14,zomato,255.81,1799.08,10,SW_monsoon,0.678,0.9298,0.8939,0.09,50.09
low,13,zomato,189.09,1037.5,25,heat,0.7039,0.7941,0.85,0.0986,59.93
high,20,zomato,302.17,2200.82,3,dry_season,0.2443,0.8987,0.9543,0.1905,50.21
low,3,swiggy,299.95,1650.89,26,NE_monsoon,0.36,0.9815,0.85,0.0797,49.0
high,7,swiggy,267.34,1833.48,19,heat,0.3718,0.5337,0.85,0.1493,49.0
medium,4,swiggy,222.2,1240.24,41,heat,0.5452,0.6195,0.85,0.1711,49.0
medium,11,swiggy,310.36,2266.06,1,heat,0.5887,0.5926,0.9648,0.1611,49.0
low,5,zomato,278.12,1586.8,31,dry_season,0.2726,0.6566,0.85,0.072,53.79
low,9,swiggy,185.34,1237.65,21,SW_monsoon,0.0961,0.8279,0.85,0.056,49.1
medium,4,zomato,314.54,1996.23,26,heat,0.4294,0.4428,0.85,0.0992,49.0
low,18,zomato,290.76,1593.18,30,dry_season,0.6108,0.612,0.85,0.0745,49.36
medium,2,swiggy,190.22,1180.65,50,heat,0.459,0.77,0.85,0.0953,51.44
low,17,zomato,265.79,1594.12,52,NE_monsoon,0.6038,0.4715,0.85,0.0865,49.0
medium,5,swiggy,292.23,2013.94,47,dry_season,0.6509,0.6011,0.85,0.1137,51.31
high,13,zomato,253.62,1956.62,18,NE_monsoon,0.3581,0.7581,0.85,0.247,49.0
medium,18,zomato,259.08,1796.87,23,heat,0.2861,0.8991,0.85,0.1038,49.0
high,2,zomato,298.24,2245.95,20,SW_monsoon,0.55,0.9439,0.85,0.1867,51.13
medium,5,zomato,246.53,1436.69,39,SW_monsoon,0.295,0.9662,0.85,0.1245,51.63
medium,17,zomato,267.82,1860.86,40,SW_monsoon,0.4485,0.6148,0.85,0.105,49.0
high,11,zomato,172.31,1116.37,39,SW_monsoon,0.5181,0.6324,0.85,0.1312,49.0
medium,6,swiggy,277.08,1665.07,31,dry_season,0.0547,0.7529,0.85,0.0737,49.12
high,15,zomato,191.3,1286.12,9,dry_season,0.2951,0.7883,0.9005,0.2185,49.0
medium,4,zomato,240.31,1563.35,8,heat,0.357,0.7417,0.9061,0.0707,49.56
medium,15,zomato,277.54,1721.05,50,SW_monsoon,0.776,0.5683,0.85,0.1083,49.0
medium,2,zomato,268.39,1830.63,32,heat,0.7906,0.7355,0.85,0.1082,49.0
low,11,zomato,276.64,1461.57,9,NE_monsoon,0.5033,0.7548,0.917,0.0934,52.94
medium,14,zomato,270.87,1766.94,42,NE_monsoon,0.7781,0.96,0.85,0.1024,49.29
medium,10,zomato,418.73,2617.38,41,heat,0.7034,0.8364,0.85,0.0707,49.0
high,6,swiggy,287.03,1907.58,3,heat,0.3954,0.673,0.973,0.2064,49.0
medium,10,swiggy,324.61,2008.91,41,heat,0.2154,0.6939,0.85,0.0798,51.46
medium,11,swiggy,356.64,2159.12,3,SW_monsoon,0.3203,0.9818,0.9566,0.1257,49.0
medium,5,zomato,258.64,1639.64,51,SW_monsoon,0.738,0.7634,0.85,0.0876,51.85
high,13,zomato,296.5,2389.25,2,heat,0.4513,0.4847,0.9738,0.1841,49.0
low,13,swiggy,271.96,1649.58,11,NE_monsoon,0.4795,0.5891,0.8934,0.0765,51.38
low,3,zomato,401.74,2423.88,39,SW_monsoon,0.7138,0.8432,0.85,0.0636,49.97
medium,11,swiggy,318.65,1752.04,37,NE_monsoon,0.5396,0.7475,0.85,0.1217,49.0
high,5,swiggy,466.73,3572.51,47,NE_monsoon,0.5365,0.8073,0.85,0.1351,52.21
low,12,zomato,279.46,1637.02,44,heat,0.4119,0.5092,0.85,0.0582,49.28
medium,18,swiggy,312.73,2067.3,41,heat,0.6698,0.8464,0.85,0.1403,49.0
high,10,zomato,363.42,2724.83,21,dry_season,0.5401,0.7128,0.85,0.1286,49.0
low,11,zomato,228.6,1299.55,45,NE_monsoon,0.1775,0.6456,0.85,0.0436,52.74
medium,3,zomato,273.64,1937.81,40,NE_monsoon,0.2297,0.9173,0.85,0.1127,49.0
medium,1,swiggy,246.0,1435.43,19,NE_monsoon,0.4036,0.3298,0.85,0.0468,49.0
medium,20,swiggy,252.97,1642.4,12,NE_monsoon,0.3495,0.5706,0.887,0.1832,52.68
low,3,zomato,247.62,1497.32,26,NE_monsoon,0.2271,0.8374,0.85,0.0898,49.0
high,4,zomato,158.09,1073.79,48,SW_monsoon,0.3287,0.8319,0.85,0.1617,51.53
high,6,zomato,225.96,1635.79,24,SW_monsoon,0.7094,0.6836,0.85,0.1765,49.62
medium,20,zomato,320.67,2097.44,2,dry_season,0.2921,0.9421,0.9803,0.148,50.99
medium,13,zomato,125.39,746.56,17,dry_season,0.5619,0.6425,0.85,0.1285,49.0
low,12,zomato,325.48,1698.17,34,NE_monsoon,0.7311,0.5068,0.85,0.0559,49.93
low,2,swiggy,339.21,1805.36,47,NE_monsoon,0.5028,0.7108,0.85,0.0779,49.0
medium,8,swiggy,316.42,1947.67,35,NE_monsoon,0.5541,0.6675,0.85,0.1531,49.34
low,15,zomato,269.57,1293.39,24,SW_monsoon,0.4728,0.6795,0.85,0.0912,49.0
high,20,zomato,369.15,2538.54,48,NE_monsoon,0.2884,0.6774,0.85,0.1689,51.73
medium,2,zomato,285.36,1868.17,20,dry_season,0.3409,0.4586,0.85,0.1694,49.0
medium,19,zomato,359.0,2426.81,49,NE_monsoon,0.3659,0.6627,0.85,0.1223,49.0
low,10,swiggy,292.57,1669.46,20,dry_season,0.1384,0.7617,0.85,0.0277,49.0
low,12,zomato,386.58,2254.06,48,SW_monsoon,0.6012,0.6115,0.85,0.0812,49.0
medium,12,zomato,341.74,2538.35,20,SW_monsoon,0.3597,0.5287,0.85,0.1098,49.28
low,4,swiggy,309.43,1716.17,18,NE_monsoon,0.8051,0.9614,0.85,0.0333,50.4
high,3,zomato,304.89,2129.17,1,NE_monsoon,0.4348,0.722,0.989,0.1467,49.04
high,11,swiggy,239.48,1653.85,17,NE_monsoon,0.2256,0.4803,0.85,0.1203,49.0
high,8,zomato,327.89,2430.33,47,heat,0.2683,0.6963,0.85,0.1623,49.0
low,2,zomato,278.88,1805.01,35,SW_monsoon,0.404,0.606,0.85,0.0661,49.0
medium,19,zomato,319.91,2144.82,33,SW_monsoon,0.8223,0.7033,0.85,0.1451,49.0
medium,14,swiggy,174.99,1195.94,52,dry_season,0.4847,0.5756,0.85,0.1516,53.63
low,16,swiggy,351.28,1850.73,6,SW_monsoon,0.3967,0.5768,0.9475,0.0959,49.99
low,11,zomato,394.49,2267.26,48,dry_season,0.0965,0.8458,0.85,0.1022,49.0
medium,8,zomato,344.14,1805.42,11,dry_season,0.439,0.8228,0.8847,0.1012,51.01
low,2,zomato,356.57,2218.12,34,SW_monsoon,0.7158,0.7917,0.85,0.0558,49.1
low,15,zomato,286.81,1622.67,8,SW_monsoon,0.5378,0.5004,0.9194,0.0659,50.18
low,13,swiggy,309.71,1723.97,45,NE_monsoon,0.2925,1.0,0.85,0.076,49.0
medium,12,zomato,213.58,1266.73,8,SW_monsoon,0.7892,0.8868,0.9309,0.0965,49.0
medium,11,zomato,276.74,1749.8,13,SW_monsoon,0.7038,0.7133,0.8766,0.1471,52.21
low,14,zomato,182.73,1110.41,43,dry_season,0.4936,0.6767,0.85,0.0531,49.0
high,3,swiggy,251.56,1692.89,26,dry_season,0.409,0.519,0.85,0.1868,49.0
low,1,zomato,130.23,890.42,13,dry_season,0.7494,0.6954,0.8787,0.068,49.37
medium,8,zomato,200.55,1296.62,7,dry_season,0.4221,0.6238,0.9283,0.1207,49.0
medium,7,swiggy,254.22,1780.05,35,SW_monsoon,0.2055,0.7839,0.85,0.1185,49.75
low,4,zomato,320.03,1964.94,13,SW_monsoon,0.0196,0.7405,0.8678,0.0879,49.62
high,6,zomato,274.67,1766.22,29,NE_monsoon,0.6329,0.9032,0.85,0.2026,49.0
low,4,zomato,340.12,1690.13,5,NE_monsoon,0.8441,0.8323,0.9529,0.0707,49.36
medium,19,zomato,369.34,2580.1,11,dry_season,0.1153,0.8263,0.9071,0.1134,49.0
low,18,zomato,292.25,1482.0,2,heat,0.3868,0.7923,0.9734,0.0162,49.45
high,19,zomato,276.81,2123.55,50,heat,0.4941,0.8841,0.85,0.226,50.59
low,5,zomato,193.93,1012.8,47,SW_monsoon,0.6209,0.637,0.85,0.0916,49.0
high,3,zomato,217.74,1539.72,24,SW_monsoon,0.4255,0.7638,0.85,0.1492,49.0
medium,9,zomato,261.05,1733.9,6,heat,0.3998,0.8625,0.9446,0.1087,49.0
low,3,zomato,364.57,2279.02,38,heat,0.7217,0.8099,0.85,0.0829,50.77
high,19,zomato,378.78,2682.75,39,SW_monsoon,0.5659,0.6296,0.85,0.1527,49.0
low,13,zomato,211.84,1313.97,4,heat,0.2369,0.7513,0.9402,0.0772,49.0
high,13,swiggy,289.1,2208.8,35,heat,0.1383,0.9812,0.85,0.1717,53.8
medium,12,zomato,218.34,1369.83,10,SW_monsoon,0.3029,0.6277,0.9061,0.1059,53.18
medium,4,zomato,197.35,1266.88,19,dry_season,0.6433,0.9119,0.85,0.0866,50.08
low,15,zomato,320.76,1609.88,6,heat,0.4836,0.6065,0.9225,0.076,49.0
medium,15,swiggy,280.71,1911.56,30,SW_monsoon,0.3005,0.8038,0.85,0.0864,49.97
medium,17,zomato,248.11,1731.77,7,SW_monsoon,0.3693,0.9443,0.9391,0.1069,49.7
medium,8,zomato,391.94,2587.7,23,SW_monsoon,0.6677,0.8784,0.85,0.1073,52.01
high,15,zomato,306.57,2203.11,39,NE_monsoon,0.4045,0.5557,0.85,0.198,49.0
medium,20,zomato,377.56,2641.11,18,heat,0.4197,0.5795,0.85,0.1095,49.0
medium,16,swiggy,216.55,1355.4,38,NE_monsoon,0.1884,0.4913,0.85,0.0674,49.0
high,15,zomato,248.05,1751.3,1,SW_monsoon,0.1821,0.5678,0.9878,0.2345,50.25
low,14,zomato,202.67,1196.26,13,heat,0.0902,0.6145,0.8906,0.1009,49.95
medium,17,swiggy,252.42,1634.18,19,dry_season,0.8877,0.7173,0.85,0.128,49.83
high,14,zomato,368.66,2727.2,42,heat,0.8155,0.8978,0.85,0.2258,50.98
medium,15,zomato,245.71,1680.17,14,NE_monsoon,0.7197,0.9403,0.857,0.1092,50.87
medium,15,zomato,339.52,2116.41,26,dry_season,0.2883,0.6265,0.85,0.153,49.91
high,13,zomato,287.89,1955.51,37,NE_monsoon,0.3598,0.7896,0.85,0.1743,49.0
medium,12,swiggy,250.21,1497.21,24,heat,0.3264,0.5956,0.85,0.1561,53.19
high,10,zomato,208.78,1395.55,34,NE_monsoon,0.5496,0.6137,0.85,0.2054,50.25
medium,6,swiggy,277.57,1714.05,44,NE_monsoon,0.6864,0.8094,0.85,0.1172,49.0
medium,17,swiggy,241.42,1560.7,35,SW_monsoon,0.7907,0.7832,0.85,0.1297,51.99
medium,11,zomato,220.88,1368.9,41,dry_season,0.5545,0.9692,0.85,0.1063,49.0
medium,7,swiggy,260.99,1609.66,43,heat,0.8562,0.7112,0.85,0.0952,49.0
medium,15,zomato,282.17,1780.81,6,dry_season,0.3611,0.5708,0.9225,0.1208,49.0
high,7,swiggy,213.71,1448.14,1,heat,0.668,0.6078,0.9662,0.1589,51.16
medium,4,zomato,340.78,2019.78,17,heat,0.7361,0.7931,0.85,0.1302,49.98
low,11,swiggy,242.9,1438.3,19,dry_season,0.3346,0.4153,0.85,0.0551,53.4
low,20,zomato,253.23,1456.68,2,heat,0.2523,0.7132,0.9684,0.0841,49.9
medium,20,zomato,319.18,1741.97,9,NE_monsoon,0.4619,0.7569,0.8955,0.1285,49.0
low,5,zomato,325.76,1889.67,24,dry_season,0.1342,0.8121,0.85,0.1147,52.44
medium,5,zomato,197.23,1231.99,10,heat,0.2414,0.5795,0.899,0.136,50.11
high,16,zomato,216.27,1759.56,9,SW_monsoon,0.4236,0.6736,0.9119,0.1314,50.29
medium,9,zomato,265.07,1659.36,28,NE_monsoon,0.7102,0.8567,0.85,0.1249,49.0
medium,16,swiggy,278.04,2014.3,11,NE_monsoon,0.4601,0.8197,0.9064,0.1086,50.62
high,12,zomato,180.75,1339.73,17,SW_monsoon,0.4958,0.8047,0.8529,0.1436,49.0
medium,12,zomato,227.42,1398.51,34,NE_monsoon,0.2519,0.6776,0.85,0.1048,49.0
medium,12,zomato,303.4,1894.11,40,NE_monsoon,0.2434,0.8445,0.85,0.0927,49.0
medium,7,zomato,156.11,869.04,26,dry_season,0.6128,0.7685,0.85,0.1562,49.0
low,4,swiggy,320.59,1657.56,31,SW_monsoon,0.1273,0.6985,0.85,0.0744,53.99
low,4,zomato,256.73,1588.11,7,NE_monsoon,0.8155,0.6873,0.9121,0.0751,49.0
medium,10,swiggy,300.56,1772.31,20,dry_season,0.4786,0.6603,0.85,0.1157,49.0
medium,19,swiggy,345.72,2282.11,2,SW_monsoon,0.2615,0.6193,0.9761,0.1325,49.0
medium,11,zomato,308.37,2099.28,4,NE_monsoon,0.2711,0.8447,0.9601,0.1316,49.0
high,9,zomato,307.61,2216.39,26,NE_monsoon,0.3108,0.823,0.85,0.1785,49.0
medium,20,zomato,314.04,2162.49,42,SW_monsoon,0.9138,0.691,0.85,0.1638,49.39
medium,10,zomato,286.02,1717.76,30,SW_monsoon,0.2747,0.4915,0.85,0.0923,49.0
low,1,swiggy,229.25,1415.31,49,SW_monsoon,0.3219,0.9239,0.85,0.1019,49.0
low,1,zomato,229.03,1366.67,14,dry_season,0.5881,0.7861,0.8536,0.1281,50.89
low,5,zomato,324.6,2035.61,19,NE_monsoon,0.2167,0.7963,0.85,0.1409,49.0
high,11,swiggy,261.99,1667.53,22,NE_monsoon,0.4217,0.6501,0.85,0.1566,50.81
medium,9,zomato,248.7,1729.37,51,dry_season,0.1038,0.632,0.85,0.0813,49.53
high,18,swiggy,303.82,2121.66,19,NE_monsoon,0.1703,0.5736,0.85,0.1631,49.0
low,11,zomato,177.2,961.07,20,NE_monsoon,0.6354,0.6181,0.85,0.0414,50.71
high,16,zomato,391.34,2809.85,33,NE_monsoon,0.4911,0.8283,0.85,0.2092,49.58
medium,12,zomato,344.39,1946.94,14,NE_monsoon,0.7472,0.8836,0.877,0.1069,49.43
low,17,swiggy,280.67,1587.68,9,heat,0.7032,0.9386,0.9228,0.0846,50.13
medium,14,zomato,258.52,1832.98,1,heat,0.2056,0.8501,0.9916,0.117,53.66
high,12,swiggy,288.2,1999.98,17,SW_monsoon,0.5305,0.3708,0.85,0.1781,51.43
high,20,zomato,189.5,1362.8,3,SW_monsoon,0.2985,0.4785,0.9658,0.1825,52.03
low,1,zomato,197.57,1244.6,1,dry_season,0.3416,0.7592,0.9633,0.0589,49.0
medium,8,zomato,234.14,1479.78,17,NE_monsoon,0.2502,0.7983,0.85,0.0702,49.0
medium,19,swiggy,322.48,1886.64,27,NE_monsoon,0.4382,0.8146,0.85,0.1472,49.87
medium,12,zomato,259.12,1653.48,23,NE_monsoon,0.2681,0.6841,0.85,0.0902,50.61
low,9,swiggy,328.7,1884.84,39,SW_monsoon,0.4085,0.823,0.85,0.0179,49.0
high,19,zomato,273.77,2030.73,48,heat,0.8128,0.6647,0.85,0.1345,51.35
high,17,swiggy,303.17,2134.67,28,NE_monsoon,0.1439,0.2401,0.85,0.1254,50.32
high,5,zomato,280.92,1965.83,14,heat,0.519,0.7835,0.871,0.2064,49.0
high,11,zomato,198.43,1332.1,7,heat,0.55,0.8781,0.9384,0.1461,49.0
medium,5,zomato,290.62,1954.39,14,SW_monsoon,0.7052,0.8834,0.8598,0.0971,49.41
high,20,swiggy,286.67,2115.17,29,NE_monsoon,0.5236,0.7764,0.85,0.1587,50.94
medium,6,zomato,245.93,1532.1,10,SW_monsoon,0.8435,0.7097,0.8999,0.0924,49.0
medium,4,swiggy,332.93,2214.42,51,dry_season,0.6955,0.7816,0.85,0.113,49.0
low,2,zomato,216.39,1366.65,6,SW_monsoon,0.3395,0.6833,0.9329,0.0984,52.05
medium,16,zomato,311.62,1908.4,6,NE_monsoon,0.5232,0.9301,0.9224,0.1515,49.9
medium,19,zomato,317.33,1814.08,16,SW_monsoon,0.479,0.7407,0.85,0.1312,50.73
low,18,zomato,136.81,869.69,47,NE_monsoon,0.6043,0.5612,0.85,0.0622,49.5
low,8,zomato,186.3,1102.65,46,dry_season,0.4128,0.6888,0.85,0.0786,49.0
medium,10,zomato,306.53,1840.08,15,NE_monsoon,0.3358,0.5805,0.8677,0.1322,50.32
low,16,swiggy,241.73,1337.58,11,SW_monsoon,0.2308,0.6764,0.8993,0.0582,49.0
medium,13,zomato,193.42,1179.12,52,SW_monsoon,0.6396,0.7997,0.85,0.1501,50.32
medium,1,swiggy,196.94,1226.2,10,NE_monsoon,0.3716,0.7229,0.8919,0.1445,52.03
medium,1,zomato,179.97,1253.58,26,SW_monsoon,0.4342,0.8447,0.85,0.1071,49.0
medium,4,swiggy,358.18,2284.78,20,NE_monsoon,0.5338,0.7549,0.85,0.0989,53.03
medium,4,swiggy,336.97,2146.72,45,heat,0.9241,0.6945,0.85,0.1318,49.0
low,19,zomato,304.57,1694.56,23,NE_monsoon,0.658,0.6727,0.85,0.0439,49.0
high,3,swiggy,285.53,1986.74,46,SW_monsoon,0.5155,0.6794,0.85,0.1929,52.34
low,1,zomato,342.35,1996.39,41,heat,0.6452,0.9943,0.85,0.0795,49.0
medium,3,zomato,241.01,1357.96,3,heat,0.8487,0.6296,0.9704,0.1162,49.0
high,7,swiggy,272.15,1922.05,15,dry_season,0.5641,0.6643,0.8514,0.2367,49.0
low,2,swiggy,335.39,1948.8,5,heat,0.4373,0.6411,0.9563,0.0931,50.61
low,15,zomato,251.7,1402.11,4,heat,0.7686,1.0,0.9422,0.0986,49.0
low,2,swiggy,312.03,1796.8,36,SW_monsoon,0.5966,0.6111,0.85,0.0595,53.18
medium,11,swiggy,273.42,1807.62,36,heat,0.5049,0.7491,0.85,0.1846,50.16
low,3,swiggy,205.26,1173.63,42,NE_monsoon,0.326,0.6925,0.85,0.0996,53.98
high,7,swiggy,267.59,1858.31,32,NE_monsoon,0.4802,0.6278,0.85,0.1982,55.12
medium,15,swiggy,228.34,1606.51,9,NE_monsoon,0.2677,0.6472,0.916,0.0523,49.4
high,6,zomato,328.98,2344.27,44,NE_monsoon,0.3811,0.7731,0.85,0.2107,49.0
high,12,swiggy,262.54,1743.63,33,dry_season,0.4853,0.7308,0.85,0.2074,52.64
medium,4,swiggy,280.92,1967.71,5,dry_season,0.3802,0.7314,0.9309,0.1624,50.11
medium,4,zomato,292.25,1805.02,22,NE_monsoon,0.2053,0.6697,0.85,0.1294,49.85
low,16,zomato,342.13,2140.86,2,NE_monsoon,0.356,0.8219,0.9806,0.0349,49.0
high,10,swiggy,278.2,1830.27,38,dry_season,0.3442,0.625,0.85,0.2062,53.88
low,1,swiggy,259.01,1578.01,50,NE_monsoon,0.6362,0.8112,0.85,0.0495,49.7
low,3,zomato,276.9,1530.63,42,NE_monsoon,0.5636,0.8439,0.85,0.0491,49.38
high,20,zomato,268.39,1930.68,10,SW_monsoon,0.3259,0.5695,0.9113,0.1554,49.0
medium,5,swiggy,337.8,2439.37,11,NE_monsoon,0.0969,0.7915,0.8955,0.1069,51.39
low,11,swiggy,315.92,1773.77,9,SW_monsoon,0.1727,0.9238,0.9092,0.0479,49.0
high,12,zomato,324.69,2155.74,15,heat,0.5749,0.799,0.8649,0.154,49.0
high,13,zomato,323.69,2325.4,25,heat,0.4895,0.5309,0.85,0.1344,49.0
medium,10,zomato,272.18,1663.05,24,NE_monsoon,0.3549,0.4045,0.85,0.1187,49.0
low,6,zomato,272.07,1541.99,52,NE_monsoon,0.636,0.9581,0.85,0.0357,49.0
medium,4,zomato,126.38,791.2,33,heat,0.6971,0.6493,0.85,0.1019,49.0
medium,12,zomato,287.58,1976.03,36,SW_monsoon,0.2749,0.7391,0.85,0.145,49.0
medium,15,swiggy,229.05,1595.89,32,heat,0.2626,0.7175,0.85,0.0957,49.0
medium,13,zomato,387.29,2599.02,8,heat,0.3054,0.835,0.9257,0.1725,50.38
high,9,zomato,275.32,1667.85,20,NE_monsoon,0.1869,0.4207,0.85,0.1568,49.0
medium,16,zomato,316.89,2135.23,44,NE_monsoon,0.2329,0.8286,0.85,0.1173,49.0
high,19,zomato,405.99,3154.32,45,heat,0.4007,0.7552,0.85,0.1962,49.0
medium,19,zomato,239.57,1651.61,52,NE_monsoon,0.6662,0.5901,0.85,0.1276,49.84
high,17,zomato,168.12,1123.59,45,SW_monsoon,0.3738,0.9412,0.85,0.1684,49.0
low,11,zomato,204.68,1296.69,23,NE_monsoon,0.3636,0.7222,0.85,0.1275,49.0
low,10,zomato,274.39,1551.92,20,dry_season,0.4714,0.7157,0.85,0.111,49.0
medium,9,zomato,238.77,1615.28,31,heat,0.2392,0.4766,0.85,0.0686,49.0
medium,10,zomato,388.96,2460.54,50,SW_monsoon,0.4378,0.8794,0.85,0.1223,49.0
high,2,swiggy,341.3,2377.27,31,heat,0.4676,0.5786,0.85,0.1658,50.8
low,13,swiggy,279.5,1830.81,40,dry_season,0.4429,0.4426,0.85,0.1132,49.0
low,13,zomato,191.14,1133.38,35,NE_monsoon,0.5717,0.7488,0.85,0.0542,50.97
high,11,zomato,311.52,2405.18,11,heat,0.1473,0.4306,0.8818,0.1748,49.0
low,5,zomato,227.65,1308.04,40,SW_monsoon,0.7757,0.7074,0.85,0.0683,49.0
low,20,zomato,284.29,1724.58,3,heat,0.5449,0.5057,0.9574,0.0366,51.04
medium,17,swiggy,290.96,1608.8,42,dry_season,0.5236,0.618,0.85,0.1427,49.0
medium,20,swiggy,244.8,1424.13,15,dry_season,0.6175,0.5972,0.8568,0.1234,49.0
high,18,zomato,242.19,1928.15,22,NE_monsoon,0.535,0.9255,0.85,0.1985,52.52
high,16,swiggy,310.47,2260.83,18,NE_monsoon,0.167,0.7175,0.85,0.1912,49.0
low,3,zomato,360.66,1940.0,31,SW_monsoon,0.3986,0.5511,0.85,0.092,49.56
medium,18,swiggy,314.98,2095.74,35,NE_monsoon,0.6694,0.8413,0.85,0.1245,49.07
high,4,swiggy,343.31,2136.59,35,heat,0.2115,0.6273,0.85,0.173,49.0
low,20,swiggy,225.63,1314.81,52,dry_season,0.4579,0.8202,0.85,0.0554,49.0
high,5,zomato,232.27,1665.9,13,SW_monsoon,0.0763,0.6306,0.8859,0.1511,52.34
low,16,zomato,304.35,1743.22,24,NE_monsoon,0.3783,0.6761,0.85,0.1129,50.35
medium,6,swiggy,262.55,1596.08,13,SW_monsoon,0.4012,0.8389,0.8678,0.1337,51.4
high,16,zomato,318.7,2447.33,15,SW_monsoon,0.3011,0.8982,0.8699,0.1689,49.18
high,10,zomato,287.26,1960.88,9,NE_monsoon,0.8761,0.7103,0.9171,0.1251,49.0
medium,20,zomato,260.01,1619.58,49,dry_season,0.3443,0.8853,0.85,0.1049,49.0
medium,16,zomato,203.06,1286.81,42,heat,0.319,0.9388,0.85,0.1827,51.36
low,4,swiggy,220.75,1291.96,47,SW_monsoon,0.5019,0.5819,0.85,0.0827,49.0
low,11,swiggy,277.96,1632.86,15,NE_monsoon,0.1854,0.4189,0.85,0.0822,50.14
low,14,swiggy,290.7,1812.18,16,NE_monsoon,0.3346,0.7092,0.8666,0.0923,49.0
medium,5,zomato,198.67,1118.8,5,dry_season,0.457,0.8917,0.9426,0.0535,49.0
low,18,zomato,214.02,1368.73,8,dry_season,0.3372,0.8972,0.9089,0.1343,51.84
low,5,swiggy,318.06,1787.58,26,NE_monsoon,0.7577,0.7927,0.85,0.1093,49.0
low,18,swiggy,121.81,804.17,32,dry_season,0.4925,0.6954,0.85,0.0962,50.17
medium,6,zomato,307.39,1796.98,37,dry_season,0.2366,0.5782,0.85,0.1043,50.13
high,11,swiggy,285.72,1912.55,51,NE_monsoon,0.3288,0.7024,0.85,0.1687,49.29
medium,8,swiggy,316.77,2192.05,35,dry_season,0.5753,0.8858,0.85,0.1529,49.0
medium,20,zomato,207.61,1322.05,39,NE_monsoon,0.488,0.6646,0.85,0.1618,49.0
medium,3,swiggy,303.27,1645.89,17,NE_monsoon,0.2674,0.8907,0.85,0.1154,52.34
medium,14,zomato,327.09,2079.69,17,SW_monsoon,0.3054,0.7397,0.85,0.1111,50.93
medium,1,zomato,273.72,1758.83,31,dry_season,0.8577,0.6989,0.85,0.0797,52.46
high,18,swiggy,264.64,1889.38,44,NE_monsoon,0.49,0.7473,0.85,0.1378,51.04
low,8,swiggy,238.64,1548.16,21,SW_monsoon,0.5811,0.4974,0.85,0.078,49.0
